Title,Description,Category,Funding Goal,Duration
"AI-Powered Health Monitor","A wearable device using AI to monitor and improve health conditions in real-time.","Health & Wellness","100000","30"
"Solar-Powered Car","A solar-powered electric vehicle designed for eco-friendly travel and reduced carbon emissions.","Technology","500000","60"
"Smart Home Automation","A fully integrated home automation system controlled via voice and mobile apps.","Home Improvement","75000","45"
"3D Printed Prosthetics","Creating affordable and customizable prosthetics using 3D printing technology.","Medical","200000","90"
"Community Learning Platform","An online platform providing courses and mentorship to underprivileged students.","Education","120000","40"
"VR Fitness Experience","A virtual reality-based fitness program to make workouts fun and engaging.","Fitness","90000","25"
"Organic Farming Revolution","A platform connecting organic farmers with consumers to promote sustainable agriculture.","Agriculture","150000","50"
"Artisan Coffee Roasters","A boutique coffee brand specializing in sustainably sourced, small-batch roasts.","Food & Beverage","60000","35"
"Recycled Plastic Furniture","Furniture made from 100% recycled plastic, promoting eco-friendly living spaces.","Sustainability","80000","70"
"Mobile Mental Health App","An app providing on-demand mental health support and counseling via AI chatbots.","Mental Health","50000","20"
